,year,duration,popularity
918,1926,169800,6
919,1926,169747,5
920,1926,158467,8
921,1926,193387,6
922,1926,175293,6
923,1926,204707,8
924,1926,178707,5
925,1926,206467,6
926,1926,178000,7
927,1926,178773,6
928,1926,175333,6
929,1926,162827,6
930,1926,174773,6
931,1926,170267,7
932,1926,354240,7
933,1926,194973,6
934,1926,204027,4
935,1926,184160,4
936,1926,171921,5
937,1926,187493,4
938,1926,188333,5
939,1926,167800,4
940,1926,187467,5
941,1926,211133,6
942,1926,185640,5
943,1926,197933,4
944,1926,191053,5
945,1926,207122,5
946,1926,173573,5
947,1926,185107,4
948,1926,183213,4
949,1926,179507,5
950,1926,182173,3
951,1926,235427,3
952,1926,179867,4
953,1926,101600,2
954,1926,203453,1
955,1926,172803,2
956,1926,125167,7
957,1926,192040,3
958,1926,131267,3
959,1926,205667,5
960,1926,194630,3
961,1926,212013,2
962,1926,209955,2
963,1926,192215,3
964,1926,183856,2
965,1926,181867,3
966,1926,202493,4
967,1926,194467,3
968,1926,137157,1
969,1926,111200,0
970,1926,161160,0
971,1926,98752,0
972,1926,174000,0
973,1926,123373,0
974,1926,78000,0
975,1926,121327,1
976,1926,135616,1
977,1926,141310,1
978,1926,41719,0
979,1926,162507,0
980,1926,109467,1
981,1926,110643,1
982,1926,135903,1
983,1926,98200,0
984,1926,97100,0
985,1926,112419,1
986,1926,182467,0
987,1926,110721,1
988,1926,161920,0
989,1926,97617,0
990,1926,190600,0
991,1926,133813,1
992,1926,131436,1
993,1926,119315,1
994,1926,129581,1
995,1926,118532,1
996,1926,187693,0
997,1926,103000,0
998,1926,129790,1
999,1926,96900,0
1000,1926,120465,2
1001,1926,177627,0
1002,1926,156027,0
1003,1926,114744,2
1004,1926,177040,0
1005,1926,96700,0
1006,1927,180027,41
1007,1927,192773,35
1008,1927,189600,26
1009,1927,163733,24
1010,1927,182107,16
1011,1927,125149,13
1012,1927,181827,17
1013,1927,187093,17
1014,1927,191427,28
1015,1927,169640,17
1016,1927,179427,14
1017,1927,173067,12
1018,1927,182333,13
1019,1927,185040,12
1020,1927,178207,9
1021,1927,180667,12
1022,1927,196133,11
1023,1927,180533,10
1024,1927,180467,10
1025,1927,181373,10
1026,1927,179267,10
1027,1927,171307,8
1028,1927,169067,5
1029,1927,174360,9
1030,1927,169360,8
1031,1927,166970,8
1032,1927,173684,7
1033,1927,154960,4
1034,1927,177187,3
1035,1927,209493,10
1036,1927,197800,2
1037,1927,189987,2
1038,1927,184253,2
1039,1927,176253,2
1040,1927,208000,3
1041,1927,190533,3
1042,1927,177627,2
1043,1927,151813,0
1044,1927,353920,0
1045,1927,167960,0
1046,1927,176588,0
1047,1927,175013,0
1048,1927,192053,0
1049,1927,138587,0
1050,1927,170400,0
1051,1927,161000,0
1052,1927,165733,0
1053,1927,186027,0
1054,1927,177627,0
1055,1927,173413,0
1056,1927,186360,0
1057,1927,186653,0
1058,1927,153000,0
1059,1927,163000,0
1060,1927,185267,0
1061,1927,135867,0
1062,1927,168320,0
1063,1927,238013,0
1064,1927,175053,0
1065,1927,174000,0
1066,1927,227182,0
1067,1927,161640,0
1068,1927,191112,0
1069,1927,132427,0
1070,1927,261787,0
1071,1927,164440,0
1072,1927,192693,0
1073,1927,181893,0
1074,1927,158347,0
1075,1927,109267,0
1076,1927,149913,0
1077,1927,140907,0
1078,1927,278622,0
1079,1927,231863,0
1080,1927,179813,0
1081,1927,177000,0
1082,1927,171013,0
1083,1927,170160,0
1084,1927,264673,0
1085,1927,144040,0
1086,1927,162413,0
1087,1927,199040,0
1088,1927,524062,0
1089,1927,172333,0
1090,1927,168667,0
1091,1927,124680,0
1092,1927,180413,0
1093,1927,160280,0
1094,1927,170320,0
1095,1927,237883,2
1096,1927,194827,0
1097,1927,166213,0
1098,1927,129333,0
1099,1927,168000,0
1100,1927,128000,0
1101,1927,191765,0
1102,1927,237667,0
1103,1927,203733,0
1104,1927,219347,0
1105,1927,176573,0
1106,1927,143800,0
1107,1927,164880,0
1108,1927,153120,0
1109,1927,180013,0
1110,1927,147787,0
1111,1927,181680,0
1112,1927,186160,0
1113,1927,300133,0
1114,1927,189987,0
1115,1927,185813,0
1116,1927,190467,0
1117,1927,157493,0
1118,1927,158178,1
1119,1927,165000,0
1120,1927,237467,0
1121,1927,182622,0
1122,1927,283360,0
1123,1927,149667,0
1124,1927,162000,0
1125,1927,150840,1
1126,1927,198347,0
1127,1927,150984,2
1128,1927,161933,0
1129,1927,185333,0
1130,1927,160507,0
1131,1927,179413,0
1132,1927,178480,0
1133,1927,94933,0
1134,1927,194133,0
1135,1927,180520,0
1136,1927,254840,0
1137,1927,192680,0
1138,1927,167267,1
1139,1927,155173,0
1140,1927,159667,0
1141,1927,166907,0
1142,1927,186547,0
1143,1927,162413,0
1144,1927,213920,0
1145,1927,229067,0
1146,1927,190533,0
1147,1927,167213,0
1148,1927,167493,0
1149,1927,184387,0
1150,1927,182107,0
1151,1927,146453,0
1152,1927,189800,0
1153,1927,123907,0
1154,1927,185480,0
1155,1927,129173,0
1156,1927,184333,0
1157,1927,177933,0
1158,1927,161613,0
1159,1927,186813,0
1160,1927,201097,1
1161,1927,155720,0
1162,1927,164107,0
1163,1927,181707,0
1164,1927,192973,0
1165,1927,171520,0
1166,1927,246173,0
1167,1927,176187,0
1168,1927,158973,0
1169,1927,157507,0
1170,1927,203173,0
1171,1927,166000,0
1172,1927,170053,0
1173,1927,170933,0
1174,1927,180880,0
1175,1927,162773,0
1176,1927,165000,0
1177,1927,164733,0
1178,1927,198347,0
1179,1927,172867,0
1180,1927,174600,0
1181,1927,163000,1
1182,1927,171413,0
1183,1927,204467,0
1184,1927,150119,0
1185,1927,197800,0
1186,1927,167120,0
1187,1927,116613,0
1188,1927,179347,0
1189,1927,208000,0
1190,1927,189360,0
1191,1927,160427,0
1192,1927,173027,0
1193,1927,171107,0
1194,1927,144973,0
1195,1927,138827,0
1196,1927,131920,0
1197,1927,145293,0
1198,1927,182307,0
1199,1927,166213,0
1200,1927,160840,0
1201,1927,101773,0
1202,1927,173480,0
1203,1927,205773,0
1204,1927,181920,0
1205,1927,159616,1
1206,1928,520133,51
1207,1928,198560,47
1208,1928,188533,42
1209,1928,192093,38
1210,1928,191867,32
1211,1928,152547,34
1212,1928,188373,30
1213,1928,192960,29
1214,1928,195160,23
1215,1928,196373,28
1216,1928,175400,30
1217,1928,170000,21
1218,1928,182600,23
1219,1928,190773,24
1220,1928,180733,22
1221,1928,187693,22
1222,1928,198733,19
1223,1928,270973,20
1224,1928,179227,21
1225,1928,210667,22
1226,1928,297467,20
1227,1928,180573,19
1228,1928,168253,18
1229,1928,168760,21
1230,1928,283840,20
1231,1928,180976,15
1232,1928,174733,19
1233,1928,182693,18
1234,1928,186360,18
1235,1928,127160,13
1236,1928,194800,19
1237,1928,186533,17
1238,1928,192693,16
1239,1928,194040,17
1240,1928,289560,14
1241,1928,253240,15
1242,1928,244107,14
1243,1928,201267,16
1244,1928,378827,15
1245,1928,171333,16
1246,1928,191707,15
1247,1928,205400,13
1248,1928,204000,14
1249,1928,294920,12
1250,1928,182840,15
1251,1928,255227,14
1252,1928,254907,18
1253,1928,118800,16
1254,1928,173333,12
1255,1928,179067,13
1256,1928,159093,14
1257,1928,214333,10
1258,1928,178867,12
1259,1928,205200,11
1260,1928,190533,13
1261,1928,292040,12
1262,1928,283173,11
1263,1928,397280,10
1264,1928,293920,11
1265,1928,187400,14
1266,1928,182027,14
1267,1928,164973,15
1268,1928,192000,10
1269,1928,230920,12
1270,1928,172893,14
1271,1928,196907,14
1272,1928,187427,11
1273,1928,201893,16
1274,1928,187307,9
1275,1928,200333,8
1276,1928,286880,10
1277,1928,282693,10
1278,1928,283267,11
1279,1928,202427,8
1280,1928,200867,10
1281,1928,170427,10
1282,1928,170133,10
1283,1928,167133,8
1284,1928,258933,10
1285,1928,161200,7
1286,1928,184398,6
1287,1928,196000,9
1288,1928,290520,7
1289,1928,171533,8
1290,1928,176360,7
1291,1928,203827,9
1292,1928,194507,7
1293,1928,201307,6
1294,1928,232467,6
1295,1928,187133,6
1296,1928,277493,9
1297,1928,189827,8
1298,1928,369560,7
1299,1928,199267,7
1300,1928,203267,6
1301,1928,188533,4
1302,1928,182333,4
1303,1928,192813,8
1304,1928,196240,9
1305,1928,301920,6
1306,1928,183573,5
1307,1928,274533,5
1308,1928,193440,5
1309,1928,284427,9
1310,1928,266613,6
1311,1928,246640,8
1312,1928,195267,8
1313,1928,197467,6
1314,1928,216867,8
1315,1928,275280,7
1316,1928,178427,10
1317,1928,196840,9
1318,1928,502813,5
1319,1928,190067,7
1320,1928,531320,11
1321,1928,195973,3
1322,1928,187507,7
1323,1928,391387,4
1324,1928,153573,3
1325,1928,501947,5
1326,1928,310933,4
1327,1928,172400,4
1328,1928,201360,4
1329,1928,235040,5
1330,1928,256053,5
1331,1928,826347,5
1332,1928,172307,5
1333,1928,196667,3
1334,1928,578120,4
1335,1928,182640,2
1336,1928,198040,4
1337,1928,181093,3
1338,1928,215667,8
1339,1928,180587,4
1340,1928,212333,2
1341,1928,211507,2
1342,1928,297227,2
1343,1928,237000,3
1344,1928,179973,3
1345,1928,121240,7
1346,1928,172360,3
1347,1928,139000,2
1348,1928,202067,3
1349,1928,497733,5
1350,1928,210587,2
1351,1928,168400,3
1352,1928,200680,4
1353,1928,200000,4
1354,1928,152600,1
1355,1928,122733,3
1356,1928,199040,3
1357,1928,146880,0
1358,1928,115160,0
