,SongID,duration,popularity,year,duration_sec
378,The BoxRoddy Ricch,196652.0,93.0,2019,196.652
379,Here With MeMarshmello Featuring CHVRCHES,156346.0,84.0,2019,156.346
381,Shotta FlowNLE Choppa,176631.0,81.0,2019,176.631
383,BEST ON EARTHRuss & BIA,160720.0,82.0,2019,160.72
384,Slow Dancing In The DarkJoji,209273.0,86.0,2019,209.273
386,Big Ole FreakMegan Thee Stallion,214850.0,73.0,2019,214.85
388,BezerkBig Sean Featuring A$AP Ferg & Hit-Boy,151066.0,75.0,2019,151.066
389,Even Though I'm LeavingLuke Combs,225253.0,79.0,2019,225.253
391,"Hey Look Ma, I Made ItPanic! At The Disco",169666.0,79.0,2019,169.666
393,HomicideLogic Featuring Eminem,245386.0,78.0,2019,245.386
395,My TypeSaweetie,126446.0,81.0,2019,126.446
396,If I Can't Have YouShawn Mendes,190800.0,85.0,2019,190.8
398,"You StayDJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",275275.0,67.0,2019,275.275
400,Death By A Thousand CutsTaylor Swift,198533.0,74.0,2019,198.533
401,DaddyBlueface & Rich The Kid,151146.0,79.0,2019,151.146
402,The SearchNF,248040.0,75.0,2019,248.04
404,Love SomeoneBrett Eldredge,211720.0,68.0,2019,211.72
406,Show YourselfIdina Menzel & Evan Rachel Wood,260906.0,83.0,2019,260.906
407,Over ItSummer Walker,131106.0,69.0,2019,131.106
408,Chicken Noodle Soupj-hope Featuring Becky G.,235497.0,76.0,2019,235.497
409,Sweet But PsychoAva Max,187436.0,88.0,2018,187.436
411,SpiritBeyonce,277030.0,67.0,2019,277.03
412,RoxanneArizona Zervas,163636.0,99.0,2019,163.636
413,For My DaughterKane Brown,223922.0,71.0,2019,223.922
414,"Down BadDreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",169146.0,75.0,2019,169.146
415,I'll Kill YouSummer Walker Featuring Jhene Aiko,179973.0,75.0,2019,179.973
416,God Only Knowsfor KING & COUNTRY,229760.0,65.0,2019,229.76
417,"Go LokoYG, Tyga & Jon Z",299226.0,79.0,2019,299.226
419,Pop OutPolo G Featuring Lil Tjay,166560.0,85.0,2019,166.56
421,Raised On CountryChris Young,175594.0,67.0,2019,175.594
423,All The Good Girls Go To HellBillie Eilish,168839.0,86.0,2019,168.839
425,SpeechlessDan + Shay,213386.0,79.0,2018,213.386
427,None Of Your ConcernJhene Aiko Featuring Big Sean,262213.0,77.0,2019,262.213
428,Eyes On YouChase Rice,182493.0,74.0,2019,182.493
430,Money In The GraveDrake Featuring Rick Ross,205426.0,89.0,2019,205.426
431,AntisocialEd Sheeran & Travis Scott,161746.0,77.0,2019,161.746
432,Everything We NeedKanye West Featuring Ty Dolla $ign & Ant Clemons,116559.0,77.0,2019,116.559
433,Use This GospelKanye West Featuring Clipse & Kenny G,213877.0,77.0,2019,213.877
434,Happy Holiday / The Holiday SeasonAndy Williams,156866.0,72.0,2019,156.866
435,"Mood 4 EvaBeyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",272068.0,65.0,2019,272.068
436,DaylightTaylor Swift,293453.0,72.0,2019,293.453
437,CirclesPost Malone,215280.0,98.0,2019,215.28
438,iPHONEDaBaby & Nicki Minaj,191920.0,71.0,2019,191.92
439,On The RoadPost Malone Featuring Meek Mill & Lil Baby,218320.0,82.0,2019,218.32
440,Ocean EyesBillie Eilish,200379.0,85.0,2018,200.379
442,RodeoLil Nas X & Cardi B,158706.0,79.0,2019,158.706
443,Slide AwayMiley Cyrus,233654.0,82.0,2019,233.654
